date,dayOfWeek,weekNumber,createdAt,updatedAt
2020-09-07,1,37,9/7/20 16:41,9/7/20 16:41
2020-09-08,2,37,9/7/20 16:41,9/7/20 16:41
2020-09-09,3,37,9/7/20 16:41,9/7/20 16:41
2020-09-10,4,37,9/7/20 16:41,9/7/20 16:41
2020-09-11,5,37,9/7/20 16:41,9/7/20 16:41
2020-09-12,6,37,9/7/20 16:41,9/7/20 16:41
2020-09-13,0,38,9/7/20 16:41,9/7/20 16:41
2020-09-14,1,38,9/7/20 16:41,9/7/20 16:41
2020-09-15,2,38,9/7/20 16:41,9/7/20 16:41
2020-09-16,3,38,9/7/20 16:41,9/7/20 16:41
2020-09-17,4,38,9/7/20 16:41,9/7/20 16:41
2020-09-18,5,38,9/7/20 16:41,9/7/20 16:41
2020-09-19,6,38,9/7/20 16:41,9/7/20 16:41
2020-09-20,0,39,9/7/20 16:41,9/7/20 16:41
2020-09-21,1,39,9/7/20 16:41,9/7/20 16:41
2020-09-22,2,39,9/7/20 16:41,9/7/20 16:41
2020-09-23,3,39,9/7/20 16:41,9/7/20 16:41
2020-09-24,4,39,9/7/20 16:41,9/7/20 16:41
2020-09-25,5,39,9/7/20 16:41,9/7/20 16:41
2020-09-26,6,39,9/7/20 16:41,9/7/20 16:41
2020-09-27,0,40,9/7/20 16:41,9/7/20 16:41
2020-09-28,1,40,9/7/20 16:41,9/7/20 16:41
2020-09-29,2,40,9/7/20 16:41,9/7/20 16:41
2020-09-30,3,40,9/7/20 16:41,9/7/20 16:41
2020-10-01,4,40,9/7/20 16:41,9/7/20 16:41
2020-10-02,5,40,9/7/20 16:41,9/7/20 16:41
2020-10-03,6,40,9/7/20 16:41,9/7/20 16:41
2020-10-04,0,41,9/7/20 16:41,9/7/20 16:41
2020-10-05,1,41,9/7/20 16:41,9/7/20 16:41
2020-10-06,2,41,9/7/20 16:41,9/7/20 16:41
2020-10-07,3,41,9/7/20 16:41,9/7/20 16:41
2020-10-08,4,41,9/7/20 16:41,9/7/20 16:41
2020-10-09,5,41,9/7/20 16:41,9/7/20 16:41
2020-10-10,6,41,9/7/20 16:41,9/7/20 16:41
2020-10-11,0,42,9/7/20 16:41,9/7/20 16:41
2020-10-12,1,42,9/7/20 16:41,9/7/20 16:41
2020-10-13,2,42,9/7/20 16:41,9/7/20 16:41
2020-10-14,3,42,9/7/20 16:41,9/7/20 16:41
2020-10-15,4,42,9/7/20 16:41,9/7/20 16:41
2020-10-16,5,42,9/7/20 16:41,9/7/20 16:41
2020-10-17,6,42,9/7/20 16:41,9/7/20 16:41
2020-10-18,0,43,9/7/20 16:41,9/7/20 16:41
2020-10-19,1,43,9/7/20 16:41,9/7/20 16:41
2020-10-20,2,43,9/7/20 16:41,9/7/20 16:41
2020-10-21,3,43,9/7/20 16:41,9/7/20 16:41
2020-10-22,4,43,9/7/20 16:41,9/7/20 16:41
2020-10-23,5,43,9/7/20 16:41,9/7/20 16:41
2020-10-24,6,43,9/7/20 16:41,9/7/20 16:41
2020-10-25,0,44,9/7/20 16:41,9/7/20 16:41
2020-10-26,1,44,9/7/20 16:41,9/7/20 16:41
2020-10-27,2,44,9/7/20 16:41,9/7/20 16:41
2020-10-28,3,44,9/7/20 16:41,9/7/20 16:41
2020-10-29,4,44,9/7/20 16:41,9/7/20 16:41
2020-10-30,5,44,9/7/20 16:41,9/7/20 16:41
